,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta,fs
158,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_gender_>=60000,base_model,0.4389805115538053,-0.0341733455023906,0.0278901438869917,0.8615120621782578,,bsfs
159,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_gender_>=70000,base_model,0.4894719458866738,-0.0177481034531537,0.0204594581008394,0.8956293529827395,,bsfs
160,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_gender_>=80000,base_model,0.3866021550615898,-0.016874003594134,0.005398288347597,0.9297466437872212,,bsfs
161,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_gender_>=90000,base_model,0.3997149766952579,-0.0155152265696963,0.0034942355575084,0.9526597355405269,,bsfs
162,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=10000,base_model,1.0,0.0,0.0,0.7918643383466236,,bsfs
163,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=20000,base_model,0.962626448813562,-0.0351504053789167,-0.0121458902334482,0.6104774401938023,,bsfs
164,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=30000,base_model,0.4625145889070439,-0.0982843999134508,0.0103814162414944,0.6282426567073787,,bsfs
165,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=40000,base_model,0.3895305514157973,-0.1077299026913299,0.0327063419664458,0.7214091046734632,,bsfs
166,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=50000,base_model,0.3058720607050953,-0.0951195369555917,0.0791443850267379,0.8047844958110427,,bsfs
167,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=60000,base_model,0.3272389426355805,-0.0524691373225389,0.1173473869126043,0.8615120621782578,,bsfs
168,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=70000,base_model,0.4407739322066144,-0.0231624808867936,0.2451159951159951,0.8956293529827395,,bsfs
169,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=80000,base_model,0.3537009438648783,-0.0217853614427569,0.2493859268891778,0.9297466437872212,,bsfs
170,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_marital-status_>=90000,base_model,0.3177967373148361,-0.0223944230315244,0.2213257965056526,0.9526597355405269,,bsfs
171,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=10000,base_model,1.0,0.0,0.0,0.7918643383466236,,bsfs
172,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=20000,base_model,0.96327526093102,-0.0340199356376682,-0.0341914734923094,0.6104774401938023,,bsfs
173,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=30000,base_model,0.789927355726089,-0.0280723990816185,0.0051996105160662,0.6282426567073787,,bsfs
174,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=40000,base_model,0.746481351161154,-0.0310699263248173,0.0023163872510393,0.7214091046734632,,bsfs
175,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=50000,base_model,0.6314881404078693,-0.0332642098099896,-0.002005356326344,0.8047844958110427,,bsfs
176,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=60000,base_model,0.6770805906223619,-0.0167814588187059,0.0094753516454352,0.8615120621782578,,bsfs
177,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=70000,base_model,0.5470397687898534,-0.0139848669075015,-0.0204581365144232,0.8956293529827395,,bsfs
178,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=80000,base_model,0.4118517799509815,-0.0140695367275454,-0.0717773275318032,0.9297466437872212,,bsfs
179,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function base_classifier at 0x7f5ed0a1a440>,adult_sequential_feature_selection_backward_base_classifier_race_>=90000,base_model,0.4377272844505196,-0.0126554429259899,-0.0685238236359445,0.9526597355405269,,bsfs
180,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=10000,fair_model,1.0,0.0,0.0,0.8003364737550471,1.0,bsfs
181,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=10000,fair_model,1.0,0.0,0.0,0.8003364737550471,10.0,bsfs
182,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=10000,fair_model,1.0,0.0,0.0,0.8003364737550471,20.0,bsfs
183,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=20000,fair_model,0.2094298245614035,-0.7905701754385965,-0.7148263579697239,0.6590847913862719,1.0,bsfs
184,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=20000,fair_model,1.0005229213874849,0.0005226480836236,0.0002215330084182,0.6061238223418574,10.0,bsfs
185,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=20000,fair_model,1.0387260224393775,0.0372822299651568,0.0416482055826318,0.5951547779273216,20.0,bsfs
186,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=30000,fair_model,0.0941748645959986,-0.9058251354040012,-0.7985611510791367,0.6716016150740243,1.0,bsfs
187,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=30000,fair_model,0.116357059972926,-0.7412081499349755,-0.6406865947538034,0.6576043068640646,10.0,bsfs
188,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=30000,fair_model,0.3463687210681254,-0.1856434270628806,-0.141655855346437,0.631628532974428,20.0,bsfs
189,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=40000,fair_model,0.3432406013051174,-0.1067638431375917,-0.0705048927377376,0.7331090174966353,1.0,bsfs
190,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=40000,fair_model,0.282197996828426,-0.1122670620724013,-0.0955362279368238,0.7333781965006729,10.0,bsfs
191,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=40000,fair_model,0.3437741068208894,-0.0661536658676337,-0.0424428671081849,0.7237550471063257,20.0,bsfs
192,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=50000,fair_model,0.2076903936727983,-0.1273721579748137,-0.118508560140474,0.8080080753701211,1.0,bsfs
193,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=50000,fair_model,0.2102280053924154,-0.1283294165827363,-0.117773266022827,0.8069986541049798,10.0,bsfs
194,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=50000,fair_model,0.3199493197064328,-0.0615983675840672,-0.045615671641791,0.8069313593539704,20.0,bsfs
195,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=60000,fair_model,0.2106203897663983,-0.0761281405625952,-0.109574623043562,0.8636608344549125,1.0,bsfs
196,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_feature_selection_backward at 0x7f5ed0a1a290>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_sequential_feature_selection_backward_fair_classifier_age_bins_>=60000,fair_model,0.2378283232547729,-0.0486464124733057,-0.0837469902890463,0.8606325706594885,10.0,bsfs
